projection_from,Date,Guinea,Liberia,Sierra.Leone,aggregated,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra.Leone,ymin1.Sierra.Leone,ymax1.Sierra.Leone,y1.aggregated,ymin1.aggregated,ymax1.aggregated,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra.Leone,ymin2.Sierra.Leone,ymax2.Sierra.Leone,y2.aggregated,ymin2.aggregated,ymax2.aggregated,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra.Leone,ymin4.Sierra.Leone,ymax4.Sierra.Leone,y4.aggregated,ymin4.aggregated,ymax4.aggregated
2015-08-05,2015-08-06,1,0.11764705882342241,64,65.11764705882342,7,2,14,0,0,2,66,49,87,74,58,92,7,2,14,0,0,2,67,49,86,75,58,92,7,2,14,0,0,2,67,49,86,75,58,92
2015-08-12,2015-08-13,1,0.11764705882342241,24,25.117647058823422,3,0,8,0,0,2,61,44,79,64,50,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-08-19,2015-08-20,6,0.11764705882342241,47,53.11764705882342,2,0,5,0,0,2,41,28,57,44,31,58,2,0,5,0,0,2,42,28,57,44,31,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-08-26,2015-08-27,5,0.11764705882342241,68,73.11764705882342,2,0,6,0,0,1,41,28,57,44,32,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-02,2015-09-03,0,0.11764705882342241,74,74.11764705882342,3,0,7,0,0,1,49,35,66,52,39,67,3,0,7,0,0,1,49,35,66,52,39,67,3,0,7,0,0,1,49,34,66,52,39,67
2015-09-09,2015-09-10,0,0.11764705882342241,73,73.11764705882342,1,0,5,0,0,1,61,44,80,63,48,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-16,2015-09-17,3,0.11764705882342241,67,70.11764705882342,1,0,4,0,0,2,70,52,90,71,55,89,1,0,4,0,0,2,70,52,90,71,55,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-23,2015-09-24,1.1363636363635123,0.1176470588252414,88,89.25401069518875,1,0,4,0,0,2,64,46.97500000000001,83,65,50,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-09-30,2015-10-01,0.15909090909099177,0.11764705882342241,34,34.276737967914414,2,0,6,0,0,2,75,57,96,78,61,96,2,0,6,0,0,2,75,57,97,78,61,96,2,0,6,0,0,2,75,56,96,77,60,95
2015-10-07,2015-10-08,0.15909090909099177,0.11764705882342241,37,37.276737967914414,1,0,5,0,0,2,61,44,80,63,48,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-14,2015-10-15,0.15909090909099177,0.11764705882342241,19,19.276737967914414,1,0,3,0,0,2,46,32,62,47,34,62,1,0,3,0,0,2,46,32,63,47,34,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-21,2015-10-22,0.15909090909099177,0.11764705882342241,60,60.276737967914414,0,0,2,0,0,2,30,19,42,30,20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-10-28,2015-10-29,0.15909090909053702,0.11764705882342241,28,28.27673796791396,0,0,2,0,0,2,36,24,50,37,25,49,0,0,2,0,0,2,36,24,50,37,26,49,0,0,2,0,0,2,36,24,51,37,25,49
2015-11-04,2015-11-05,0.15909090909099177,0.11764705882342241,33,33.276737967914414,0,0,2,0,0,2,29,18,42,30,20,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-11,2015-11-12,0.15909090909099177,0.11764705882342241,0,0.2767379679144142,0,0,2,0,0,1,27,16,39,28,18,38,0,0,2,0,0,1,27,17,40,28,18,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-18,2015-11-19,0.15909090909099177,0.11764705882342241,0,0.2767379679144142,0,0,2,0,0,1,12,5,20,12,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-25,2015-11-26,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,1,6,1,12,6,2,11,0,0,1,0,0,1,6,1,11,6,2,11,0,0,1,0,0,1,6,1,12,6,2,11
2015-12-02,2015-12-03,0.15909090909053702,0,0,0.15909090909053702,0,0,1,0,0,1,2,0,6,2,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-09,2015-12-10,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,1,1,0,3,1,0,3,0,0,1,0,0,1,1,0,3,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-16,2015-12-17,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-12-23,2015-12-24,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2015-12-30,2015-12-31,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-06,2016-01-07,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-13,2016-01-14,0.15909090909053702,0,0,0.15909090909053702,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-01-20,2016-01-21,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2016-01-27,2016-01-28,0.15909090909099177,0,0,0.15909090909099177,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
