Projections_from,Date,Guinea,Liberia,Sierra Leone,y1.Guinea,ymin1.Guinea,ymax1.Guinea,y1.Liberia,ymin1.Liberia,ymax1.Liberia,y1.Sierra Leone,ymin1.Sierra Leone,ymax1.Sierra Leone,y2.Guinea,ymin2.Guinea,ymax2.Guinea,y2.Liberia,ymin2.Liberia,ymax2.Liberia,y2.Sierra Leone,ymin2.Sierra Leone,ymax2.Sierra Leone,y4.Guinea,ymin4.Guinea,ymax4.Guinea,y4.Liberia,ymin4.Liberia,ymax4.Liberia,y4.Sierra Leone,ymin4.Sierra Leone,ymax4.Sierra Leone
2015-03-25,2015-03-26,63,113,133,64,48,83,94,73,115.025,101,80,123,65,47,85,93,72.975,115,100,78,123.025,64,47,84,92,72.975,116.025,101,78,124
2015-04-01,2015-04-02,23,150,162,60,43,78,86,68,109,100,79,123,60,42,76,87,67,107,99,78.975,123,59,43,76.025,87,67,109,101,80,123
2015-04-08,2015-04-09,33,180,65,39,26,54,123,98,148,118,94,145,39,26,53,123,100,147,118,96,144.025,39,26,53.025,123,100.975,148,118,94.975,143.025
2015-04-15,2015-04-16,25.5,170,66,32,21,46,128,102,153.025,99,77,121.025,32,20,45,127,105,158,97,77,120,32,20,45,128,104,154,98,78,121
2015-04-22,2015-04-23,3.92857142857156,110,104,27,17,40,187,155,220,67,53,87,27,17,39,187,156.975,219.025,68,52,88,27,17,39,187,153.975,220,68,51,87
2015-04-29,2015-04-30,11.5714285714284,242,69,13,6.975,23,197,163,232,69,53,90,13,7,22,195,163,226.025,70,53,89,13,7,22,196,162,229.025,70,53,89
2015-05-06,2015-05-07,8,40,83,8,3,14,227,193,263,63,46,83.025,7,3,14,228,192,265,63,47,82,7,2,14,227,192,261.025,63,47,81
2015-05-13,2015-05-14,38,62,109,6,2,12,173,143,204,68,51,90,6,2,12,172,142.975,204,69,51,89,6,2,12,173,142,207,69,51,88
2015-05-20,2015-05-21,6,0,74,13,6,22,110,87.975,134.025,78,59,98.025,13,6,22,110,89,134,78,59,100,13,6,21,110,88.975,137,78,61,97.025
2015-05-27,2015-05-28,11.8125,0,117.714285714286,11,5,18,49,34,64,72,54,93,11,5,19,50,35,64,72,54,92,11,4,19,49,36,65,73,54,92
2015-06-03,2015-06-04,17.1875,0,77.2857142857138,9,3.975,16,24,14,36,90,69,114,9,3,17,24,14,35,90,69.975,113.025,9,3,17,23,14,35,92,71,113
