Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,Suspected Cases,Suspected Deaths,Confirmed Cases,Confirmed Deaths,Rule Outs,Long,Lat
Sierra Leone,Sierra Leone,Ebola,Humans,2737160,"PRO/AH/EDR> Ebola virus disease - West Africa (144): Liberia, new drugs, prevention, more",http://promedmail.org/direct.php?id=20140830.2737160,8/30/14 21:14,No Tag,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2737160,"PRO/AH/EDR> Ebola virus disease - West Africa (144): Liberia, new drugs, prevention, more",http://promedmail.org/direct.php?id=20140830.2737160,8/30/14 21:14,No Tag,,,,,,-9.30791,6.44809
Guinea,Guinea,Ebola,Humans,2736842,PRO/EAFR> Ebola virus disease - West Africa (28): WHO update,http://promedmail.org/direct.php?id=20140830.432573,8/30/14 15:24,Breaking,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2736842,PRO/EAFR> Ebola virus disease - West Africa (28): WHO update,http://promedmail.org/direct.php?id=20140830.432573,8/30/14 15:24,Breaking,,,,,,-11.79192,8.56028
Liberia,Liberia,Ebola,Humans,2736842,PRO/EAFR> Ebola virus disease - West Africa (28): WHO update,http://promedmail.org/direct.php?id=20140830.432573,8/30/14 15:24,Breaking,,,,,,-9.30791,6.44809
Sierra Leone,Sierra Leone,Ebola,Humans,2735183,"PRO/AH/EDR> Ebola virus disease - West Africa (143): Senegal, Sierra Leone pediatric crisis",http://promedmail.org/direct.php?id=20140829.2735183,8/29/14 21:23,No Tag,,,,,,-11.79192,8.56028
Guinea,Guinea,Ebola,Humans,2734739,"PRO/SOAS> Ebola virus disease - West Africa (11): Senegal ex Guinea, 1st case conf.",http://promedmail.org/direct.php?id=20140829.2734739,8/29/14 20:55,No Tag,,,,,,-10.94177,10.43821
Guinea,Guinea,Ebola,Humans,2734338,"PRO/AH/EDR> Ebola virus disease - West Africa (142): Senegal ex Guinea, 1st case conf",http://promedmail.org/direct.php?id=20140829.2734338,8/29/14 14:23,No Tag,,,,,,-10.94177,10.43821
Guinea,Guinea,Ebola,Humans,2732520,"PRO/SOAS> Ebola virus disease - West Africa (12): WHO update, US/Canada vaccine trials",http://promedmail.org/direct.php?id=20140830.2732520,8/30/14 15:48,No Tag,,,,,,-10.94177,10.43821
Sierra Leone,Sierra Leone,Ebola,Humans,2732520,"PRO/SOAS> Ebola virus disease - West Africa (12): WHO update, US/Canada vaccine trials",http://promedmail.org/direct.php?id=20140830.2732520,8/30/14 15:48,No Tag,,,,,,-11.79192,8.56028
